id,title,description,publishTime,duration_seconds,viewCount,likeCount,commentCount,like_to_view_ratio(%)
nuM0Z4a7kMs,I Spent 24 Hours Straight In Insane Asylum,"THIS VIDEO WAS CRAZY, LIKE FOR MORE MINECRAFT New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR ...",2019-02-10 21:05:00+00:00,978,91428157,1923305.0,134616.0,2.1036243790848808
IYVjOfoU3uI,I Gave My Credit Card To Random People,Watch until the end to see how much they spend! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2020-02-01 21:00:01+00:00,1008,101244292,2815381.0,94482.0,2.7807799772060235
P4qWhSZ7_WA,Things That SHOULDN&#39;T Be Sold On Amazon,I bought a bunch of stuff that probably shouldn't be sold on amazon. New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I ...,2018-09-21 22:06:01+00:00,846,86162309,1367280.0,49576.0,1.5868655516183998
GUWGsIVEMSQ,"Surprising Tfue With $10,000 Live - Fortnite",YOU WON'T BELIEVE HOW HE REACTED!!! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG This is a ...,2018-10-04 20:07:01+00:00,923,64588022,1377667.0,48151.0,2.133006952899099
yeqARWqjkps,"Last To Take Hand Off $1,000,000 Keeps It",Watch to the end of the video to see who becomes a millionaire... SUBSCRIBE OR ILL PUNCH YOU New Merch ...,2019-12-19 21:00:12+00:00,1023,84619778,2603385.0,301017.0,3.07656798626912
59AYXzCa-Cs,I Built The World&#39;s Largest Lego Tower,I didnt think they would actually build that high lol New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2020-06-06 20:00:01+00:00,836,81391428,2235151.0,73663.0,2.7461749411743948
gL6iSCSHjco,"Last To Leave Roller Coaster Wins $20,000 - Challenge",THEY TOOK OVER 100 LAPS LOL New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2019-08-17 20:00:00+00:00,917,79468147,1890612.0,64659.0,2.379081520549359
_mdKvblL_8s,"$70,000 Extreme Hide And Seek - Challenge",watch until the end to see who wins the $70000 DOWNLOAD HERE: https://dragoncity.onelink.me/3213014026/MrBeast Open to ...,2020-03-13 20:00:04+00:00,1121,72718526,1791848.0,67234.0,2.464087349625321
YyhKdOCwD7s,24 Hours In The Most Haunted Place On Earth,YOU WON'T BELIEVE WHAT WE FOUND! lol New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2019-05-30 20:07:01+00:00,907,53637455,1727423.0,114242.0,3.220553622464004
tYHTVjfShOA,"Anything You Can Carry, I&#39;ll Pay For Challenge",I took people into stores and paid for whatever they could carry New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE ...,2019-04-20 20:00:03+00:00,909,71865419,1458582.0,93083.0,2.0296020259758034
i2O6GMpNWGo,"Last To Leave The Tesla, Keeps It Challenge",THIS WAS THE LONGEST CHALLENGE WE'VE DONE SO FAR! Buy merch the car was expensive lol - https://shopmrbeast.com/ ...,2019-03-29 21:05:00+00:00,1109,71745185,1371597.0,44302.0,1.9117617440111139
3LLnjRLrvLU,I Opened A Free Car Dealership,"This video means a lot to me, i'm so happy with how it went! BRAND NEW Merch - https://shopmrbeast.com/ SUBSCRIBE OR I ...",2019-08-29 20:00:00+00:00,999,87814365,2734867.0,138144.0,3.114373143847251
KSKJKLmAqpI,"Lamborghini Race, Winner Keeps Lamborghini",New Merch - https://shopmrbeast.com/ SUBSCRIBE OR ELSE ---------------------------------------------------------------- follow all of these ...,2020-02-08 21:00:02+00:00,923,75289471,1846059.0,54821.0,2.451948427157896
q0OK-zHnvnA,Can A Glowing 1000 Degree Sword Slice A Car In Half?,WILL THE SWORD CUT RIGHT THRU THE CAR????? New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR ...,2018-09-06 21:09:00+00:00,613,60674883,981980.0,39103.0,1.618429161206623
tBEBc4KQVsU,I Hope This Magic Trick Works,WE ATTEMPTED POPULAR MAGIC TRICKS AND THIS HAPPENED OPEN and follow all these guys! Chris Ramsey ...,2018-09-11 21:13:59+00:00,982,38328312,654619.0,19884.0,1.7079254625144984
0hVZOJCYBBM,Important Youtube Announcement (please watch),I CAN'T BELIEVE WE REACHED OUR GOAL!!!!! YOU GUYS ARE AMAZING! New Merch - https://shopmrbeast.com/ SUBSCRIBE ...,2019-12-28 21:00:06+00:00,155,32540299,2368072.0,135828.0,7.277351692435278
fWcSBWadolA,"Paying People $10,000 To Eat Ghost Pepper",YOU WON'T BELIEVE HOW THEY REACTED! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2019-06-01 20:05:01+00:00,886,35878816,1026780.0,36349.0,2.8618001218323372
